index,Unnamed: 0,trial_id,start_time,end_time,move_onset_time,split,trial_type,trial_version,maze_id,success,target_on_time,go_cue_time,rt,delay,num_targets,target_pos,num_barriers,barrier_pos,active_target
695,695,695,0 days 00:13:54.400000,0 days 00:13:57.126000,0 days 00:13:56.140000,train,1.0,0.0,1.0,True,0 days 00:13:55.150000,0 days 00:13:55.915000,225.0,765.0,1.0,[[111  85]],0.0,[],0.0
851,851,851,0 days 00:21:51.200000,0 days 00:21:53.961000,0 days 00:21:52.959000,val,1.0,0.0,1.0,True,0 days 00:21:51.998000,0 days 00:21:52.680000,279.0,682.0,1.0,[[111  85]],0.0,[],0.0
876,876,876,0 days 00:23:08.600000,0 days 00:23:11.761000,0 days 00:23:10.717000,val,1.0,0.0,1.0,True,0 days 00:23:09.546000,0 days 00:23:10.378000,339.0,832.0,1.0,[[111  85]],0.0,[],0.0
933,933,933,0 days 00:25:59.900000,0 days 00:26:02.771000,0 days 00:26:01.714000,val,1.0,0.0,1.0,True,0 days 00:26:00.592000,0 days 00:26:01.390000,324.0,798.0,1.0,[[111  85]],0.0,[],0.0
1007,1007,1007,0 days 00:29:50.900000,0 days 00:29:53.781000,0 days 00:29:52.789000,train,1.0,0.0,1.0,True,0 days 00:29:51.712000,0 days 00:29:52.493000,296.0,781.0,1.0,[[111  85]],0.0,[],0.0
1009,1009,1009,0 days 00:29:56.400000,0 days 00:29:59.481000,0 days 00:29:58.379000,train,1.0,0.0,1.0,True,0 days 00:29:57.199000,0 days 00:29:58.130000,249.0,931.0,1.0,[[111  85]],0.0,[],0.0
1227,1227,1227,0 days 00:40:57.200000,0 days 00:40:59.781000,0 days 00:40:58.744000,val,1.0,0.0,1.0,True,0 days 00:40:58.022000,0 days 00:40:58.470000,274.0,448.0,1.0,[[111  85]],0.0,[],0.0
1321,1321,1321,0 days 00:45:39.500000,0 days 00:45:41.741000,0 days 00:45:40.692000,train,1.0,0.0,1.0,True,0 days 00:45:40.312000,0 days 00:45:40.393000,299.0,81.0,1.0,[[111  85]],0.0,[],0.0
1349,1349,1349,0 days 00:47:03.500000,0 days 00:47:06.431000,0 days 00:47:05.402000,train,1.0,0.0,1.0,True,0 days 00:47:04.378000,0 days 00:47:05.026000,376.0,648.0,1.0,[[111  85]],0.0,[],0.0
1351,1351,1351,0 days 00:47:08.700000,0 days 00:47:11.641000,0 days 00:47:10.589000,train,1.0,0.0,1.0,True,0 days 00:47:09.455000,0 days 00:47:10.320000,269.0,865.0,1.0,[[111  85]],0.0,[],0.0
1391,1391,1391,0 days 00:49:09.400000,0 days 00:49:12.291000,0 days 00:49:11.240000,val,1.0,0.0,1.0,True,0 days 00:49:10.064000,0 days 00:49:10.946000,294.0,882.0,1.0,[[111  85]],0.0,[],0.0
1414,1414,1414,0 days 00:50:20.700000,0 days 00:50:23.501000,0 days 00:50:22.393000,train,1.0,0.0,1.0,True,0 days 00:50:21.446000,0 days 00:50:22.127000,266.0,681.0,1.0,[[111  85]],0.0,[],0.0
1556,1556,1556,0 days 00:57:32.800000,0 days 00:57:35.971000,0 days 00:57:34.938000,train,1.0,0.0,1.0,True,0 days 00:57:33.695000,0 days 00:57:34.677000,261.0,982.0,1.0,[[111  85]],0.0,[],0.0
1594,1594,1594,0 days 00:59:26.600000,0 days 00:59:29.436000,0 days 00:59:28.319000,train,1.0,0.0,1.0,True,0 days 00:59:27.402000,0 days 00:59:28.050000,269.0,648.0,1.0,[[111  85]],0.0,[],0.0
1758,1758,1758,0 days 01:07:38,0 days 01:07:40.856000,0 days 01:07:39.856000,train,1.0,0.0,1.0,True,0 days 01:07:38.889000,0 days 01:07:39.554000,302.0,665.0,1.0,[[111  85]],0.0,[],0.0
1831,1831,1831,0 days 01:11:20.800000,0 days 01:11:23.716000,0 days 01:11:22.644000,train,1.0,0.0,1.0,True,0 days 01:11:21.496000,0 days 01:11:22.378000,266.0,882.0,1.0,[[111  85]],0.0,[],0.0
